astronot|astronaut|astronaut
bisnis|business|business
diskon|discount|discount
elektronik|electronic|electronic
gaun|dress|gown
gosip|gossip|gossip
isu|issue|issue
katering|catering service|catering
klakson|horn|klaxon (Dutch: claxon)
komputer|computer|computer (Dutch: Computer)
komplit|complete|complete (Dutch: Compleet)
kondom|condom|condom
konter|counter|counter (Germans: konter)
modem|modem|modem
moderen|modern|modern (Dutch: moderne)
partner|partner|partner
pilot|pilot|pilot (Dutch: Piloot)
ponsel|cell phone|hand phone (used in Singapore, Malaysia, Philippines, and South Korea)
HP|cell phone|hand phone (used in Singapore, Malaysia, Philippines, and South Korea)
pribadi|personal|private
radar|radar|radar
roket|rocket|rocket
sistem|system|system (Dutch: Systeem)
stroberi|strawberry|strawberry
target|target|target
